RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Punahele Soriano,Uros Medic,1736553600.0,71.0,170.0,72.0,Southpaw,722390400.0,5.0,53.0,3.88,48.0,1.47,56.0,37.0,0.0,11,4,0,0,73.0,170.0,71.0,Southpaw,735696000.0,5.49,60.0,3.46,56.0,0.37,50.0,55.0,0.0,10,3,0,0,W
Jose Johnson,Felipe Bunes,1736553600.0,72.0,125.0,71.0,Orthodox,800928000.0,2.27,57.0,1.61,53.0,0.69,60.0,41.0,0.7,16,10,0,0,67.0,125.0,69.0,Orthodox,625622400.0,4.49,53.0,7.86,41.0,2.59,25.0,0.0,2.6,14,7,0,0,L
Marco Tulio,Ihor Potieria,1736553600.0,72.0,185.0,74.0,Orthodox,771465600.0,5.02,51.0,2.68,58.0,1.17,20.0,0.0,0.6,13,1,0,0,75.0,185.0,75.0,Southpaw,833328000.0,4.44,50.0,4.96,50.0,0.73,18.0,66.0,0.0,20,8,0,0,W
Thiago Moises,Trey Ogden,1736553600.0,69.0,155.0,70.0,Orthodox,795916800.0,2.5,41.0,4.12,53.0,1.34,35.0,53.0,1.2,19,8,0,0,71.0,155.0,72.0,Orthodox,627004800.0,3.2,50.0,3.49,55.0,1.89,32.0,100.0,0.7,18,7,0,1,W
Preston Parsons,Jacobe Smith,1736553600.0,71.0,170.0,71.0,Orthodox,805766400.0,3.54,51.0,3.25,54.0,3.46,36.0,71.0,2.3,11,6,0,0,70.0,170.0,72.0,Southpaw,821836800.0,7.34,70.0,1.97,52.0,11.5,87.0,0.0,0.0,10,0,0,0,L
Ernesta Kareckaite,Nicolle Caliari,1736553600.0,69.0,125.0,71.0,Orthodox,899596800.0,7.38,42.0,6.09,48.0,0.67,66.0,82.0,0.0,6,1,1,0,63.0,125.0,62.0,Orthodox,847065600.0,3.85,41.0,5.57,55.0,3.8,29.0,0.0,1.5,8,3,0,0,W
Magomed Gadzhiyasulov,Bruno Lopes,1736553600.0,74.0,205.0,75.0,Orthodox,752371200.0,2.89,49.0,1.64,62.0,3.67,73.0,61.0,0.0,9,1,0,0,74.0,205.0,74.0,Orthodox,735609600.0,2.89,43.0,3.0,60.0,2.68,33.0,100.0,0.0,14,1,0,0,L
Fatima Kline,Viktoriia Dudakova,1736553600.0,66.0,115.0,67.0,Orthodox,963360000.0,2.21,47.0,1.68,55.0,1.84,100.0,50.0,0.0,7,1,0,0,65.0,115.0,67.0,Orthodox,917308800.0,2.87,47.0,3.4,50.0,2.73,35.0,33.0,0.0,8,2,0,0,W
Nurullo Aliev,Joe Solecki,1736553600.0,70.0,155.0,72.0,Orthodox,976233600.0,2.43,45.0,1.07,58.0,2.6,54.0,0.0,0.0,10,0,0,0,69.0,155.0,70.0,Orthodox,746409600.0,1.97,53.0,1.85,50.0,2.06,48.0,14.0,1.4,13,6,0,0,W
Colby Covington,Joaquin Buckley,1734134400.0,71.0,170.0,72.0,Orthodox,572486400.0,3.81,38.0,3.09,54.0,3.64,42.0,68.0,0.2,17,5,0,0,70.0,170.0,76.0,Southpaw,767404800.0,4.22,37.0,3.13,59.0,1.78,45.0,73.0,0.1,21,6,0,0,L
Cub Swanson,Billy Quarantillo,1734134400.0,68.0,145.0,70.0,Orthodox,436579200.0,4.79,51.0,4.0,59.0,1.01,50.0,63.0,0.4,30,14,0,0,70.0,145.0,70.0,Orthodox,597542400.0,7.44,54.0,5.83,42.0,1.47,24.0,61.0,1.0,18,7,0,0,W
Manel Kape,Bruno Silva,1734134400.0,65.0,125.0,68.0,Southpaw,753235200.0,5.05,56.0,4.15,58.0,0.47,33.0,77.0,0.3,20,7,0,0,64.0,125.0,65.0,Orthodox,637545600.0,3.54,49.0,4.08,52.0,1.92,25.0,60.0,0.2,14,6,2,1,W
Vitor Petrino,Dustin Jacoby,1734134400.0,74.0,205.0,77.0,Orthodox,872726400.0,2.83,45.0,2.71,47.0,3.24,57.0,71.0,0.6,11,2,0,0,75.0,205.0,76.0,Orthodox,576115200.0,5.33,47.0,4.05,57.0,0.33,25.0,62.0,0.0,20,9,1,0,L
Adrian Yanez,Daniel Marcos,1734134400.0,67.0,135.0,70.0,Orthodox,754531200.0,6.23,41.0,5.75,54.0,0.0,0.0,81.0,0.0,17,6,0,0,67.0,135.0,69.0,Orthodox,731462400.0,5.9,53.0,4.25,62.0,0.59,50.0,88.0,0.0,17,0,0,1,L
Navajo Stirling,Tuco Tokkos,1734134400.0,76.0,205.0,79.0,Orthodox,878860800.0,5.82,56.0,2.55,58.0,0.0,0.0,72.0,0.0,6,0,0,0,76.0,205.0,76.0,Orthodox,646704000.0,2.51,38.0,4.99,48.0,2.65,40.0,33.0,0.0,10,5,0,0,W
Michael Johnson,Ottman Azaitar,1734134400.0,70.0,155.0,73.0,Southpaw,518227200.0,4.23,39.0,3.8,58.0,0.61,40.0,81.0,0.0,24,19,0,0,68.0,155.0,71.0,Switch,635472000.0,4.43,44.0,4.11,52.0,0.0,0.0,100.0,0.0,13,3,0,0,W
Joel Alvarez,Drakkar Klose,1734134400.0,75.0,155.0,77.0,Orthodox,731030400.0,4.51,53.0,3.32,50.0,0.0,0.0,40.0,1.2,22,3,0,0,69.0,155.0,70.0,Orthodox,573868800.0,4.33,55.0,3.54,50.0,1.65,27.0,69.0,0.0,15,3,1,0,W
Sean Woodson,Fernando Padilla,1734134400.0,74.0,145.0,78.0,Orthodox,707875200.0,5.66,46.0,4.2,58.0,0.63,62.0,84.0,0.4,13,1,1,0,73.0,145.0,76.0,Orthodox,850608000.0,6.07,40.0,5.74,52.0,0.0,0.0,100.0,0.6,16,6,0,0,W
Miles Johns,Felipe Lima,1734134400.0,67.0,145.0,66.0,Orthodox,764985600.0,3.16,44.0,2.65,67.0,0.92,20.0,81.0,0.0,15,3,0,1,66.0,145.0,68.0,Orthodox,894499200.0,3.5,45.0,2.32,72.0,1.71,42.0,83.0,1.1,14,1,0,0,L
Miranda Maverick,Jamey-Lyn Horth,1734134400.0,63.0,125.0,65.0,Southpaw,867715200.0,3.39,45.0,2.31,60.0,2.39,41.0,44.0,0.3,17,5,0,0,67.0,125.0,66.0,Orthodox,638755200.0,2.72,51.0,2.58,60.0,1.0,36.0,72.0,0.2,7,2,0,0,W
Davey Grant,Ramon Taveras,1734134400.0,68.0,135.0,69.0,Orthodox,503712000.0,5.25,44.0,3.89,55.0,1.14,40.0,61.0,0.2,16,7,0,0,68.0,135.0,70.0,Southpaw,758073600.0,4.62,44.0,7.41,57.0,0.0,0.0,100.0,0.0,10,3,0,0,W
Josefine Knutsson,Piera Rodriguez,1734134400.0,63.0,115.0,60.0,Orthodox,821750400.0,4.24,51.0,2.13,54.0,1.6,72.0,35.0,0.0,8,1,0,0,63.0,115.0,63.0,Orthodox,721440000.0,3.4,48.0,2.63,57.0,4.06,51.0,66.0,0.0,10,2,0,0,L
Alexandre Pantoja,Kai Asakura,1733529600.0,65.0,125.0,67.0,Orthodox,640224000.0,4.41,50.0,3.92,50.0,2.74,47.0,68.0,0.9,29,5,0,0,68.0,125.0,69.0,Orthodox,752025600.0,2.4,58.0,4.52,38.0,0.0,0.0,57.0,0.0,21,5,0,0,W
Shavkat Rakhmonov,Ian Machado Garry,1733529600.0,73.0,170.0,77.0,Orthodox,782870400.0,3.25,60.0,2.17,51.0,1.4,25.0,85.0,1.2,19,0,0,0,75.0,170.0,74.0,Orthodox,879724800.0,4.72,54.0,2.82,51.0,0.74,54.0,73.0,0.5,15,1,0,0,W
Ciryl Gane,Alexander Volkov,1733529600.0,76.0,245.0,81.0,Orthodox,639878400.0,5.26,61.0,2.23,61.0,0.7,25.0,43.0,0.6,13,2,0,0,79.0,250.0,80.0,Orthodox,593654400.0,4.97,57.0,2.99,54.0,0.61,66.0,72.0,0.2,38,11,0,0,W
Bryce Mitchell,Kron Gracie,1733529600.0,70.0,145.0,70.0,Southpaw,781228800.0,2.31,59.0,1.53,60.0,3.39,43.0,33.0,1.4,17,3,0,0,69.0,145.0,70.0,Southpaw,584582400.0,2.95,42.0,5.73,51.0,0.35,25.0,0.0,0.7,5,3,0,0,W
Nate Landwehr,Dooho Choi,1733529600.0,69.0,145.0,72.0,Orthodox,581558400.0,5.59,46.0,5.77,52.0,0.85,41.0,74.0,0.8,18,6,0,0,70.0,145.0,70.0,Orthodox,671241600.0,4.67,56.0,4.02,56.0,1.43,53.0,47.0,0.6,16,4,1,0,L
Dominick Reyes,Anthony Smith,1733529600.0,76.0,205.0,77.0,Southpaw,630633600.0,5.64,54.0,3.59,49.0,0.31,28.0,82.0,0.3,14,4,0,0,76.0,205.0,76.0,Orthodox,585878400.0,3.2,49.0,4.88,45.0,0.44,23.0,50.0,0.6,38,21,0,0,W
Vicente Luque,Themba Gorimbo,1733529600.0,71.0,170.0,75.0,Orthodox,691200000.0,5.05,51.0,5.22,52.0,0.99,53.0,62.0,0.7,23,10,1,0,73.0,170.0,77.0,Orthodox,664588800.0,3.15,61.0,1.09,56.0,4.81,65.0,82.0,0.6,14,5,0,0,W
Movsar Evloev,Aljamain Sterling,1733529600.0,67.0,145.0,72.0,Orthodox,760924800.0,3.99,48.0,2.66,60.0,4.67,48.0,61.0,0.2,19,0,0,0,67.0,145.0,71.0,Orthodox,617846400.0,4.41,52.0,2.21,58.0,2.51,29.0,42.0,0.7,24,5,0,0,W
Randy Brown,Bryan Battle,1733529600.0,75.0,170.0,78.0,Orthodox,647395200.0,4.35,47.0,3.24,54.0,0.81,39.0,73.0,0.6,19,6,0,0,73.0,170.0,77.0,Orthodox,780105600.0,5.12,52.0,4.11,44.0,0.77,17.0,53.0,0.4,13,2,0,1,L
Chris Weidman,Eryk Anders,1733529600.0,74.0,185.0,78.0,Orthodox,456278400.0,3.11,45.0,3.37,51.0,3.27,42.0,72.0,0.8,16,8,0,0,73.0,185.0,75.0,Southpaw,545961600.0,3.54,48.0,4.05,50.0,1.71,24.0,80.0,0.1,17,8,0,1,L
