RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Elizeu Zaleski dos Santos,Muslim Salikhov,1594425600.0,71.0,170.0,73.0,Orthodox,534643200.0,4.33,41.0,3.41,56.0,0.7,20.0,68.0,0.5,25,8,1,0,71.0,170.0,70.0,Orthodox,455587200.0,3.38,49.0,2.9,62.0,1.08,32.0,72.0,0.0,21,5,0,0,L
Makwan Amirkhani,Danny Henry,1594425600.0,70.0,145.0,72.0,Southpaw,594950400.0,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,17,9,0,0,72.0,145.0,73.0,Orthodox,585100800.0,5.2,51.0,4.16,45.0,0.74,33.0,50.0,2.2,12,4,0,0,W
Leonardo Santos,Roman Bogatov,1594425600.0,72.0,155.0,75.0,Orthodox,318556800.0,2.82,46.0,3.4,54.0,0.88,25.0,86.0,0.2,18,7,1,0,68.0,155.0,73.0,Orthodox,661219200.0,3.33,42.0,4.4,44.0,1.0,9.0,50.0,0.0,10,1,0,0,W
Marcin Tybura,Maxim Grishin,1594425600.0,75.0,249.0,78.0,Orthodox,500342400.0,3.57,49.0,3.26,55.0,1.42,33.0,77.0,0.1,26,9,0,0,75.0,205.0,78.0,Orthodox,452304000.0,3.26,52.0,2.27,58.0,0.21,16.0,66.0,0.0,32,10,2,0,W
Raulian Paiva,Zhalgas Zhumagulov,1594425600.0,68.0,135.0,69.0,Orthodox,813888000.0,4.14,42.0,5.01,48.0,0.65,23.0,77.0,0.2,21,5,0,0,64.0,125.0,66.0,Switch,588816000.0,5.24,43.0,5.86,52.0,1.3,19.0,75.0,0.2,14,9,0,0,W
Karol Rosa,Vanessa Melo,1594425600.0,65.0,135.0,67.0,Orthodox,788745600.0,6.22,55.0,4.84,49.0,1.09,46.0,70.0,0.0,18,7,0,0,65.0,135.0,65.0,Orthodox,575424000.0,3.48,30.0,6.13,59.0,0.0,0.0,71.0,0.0,11,8,0,0,W
Martin Day,Davey Grant,1594425600.0,70.0,145.0,73.0,Orthodox,595123200.0,3.97,45.0,3.79,53.0,0.72,60.0,65.0,0.5,8,6,0,0,68.0,135.0,69.0,Orthodox,503712000.0,5.25,44.0,3.89,55.0,1.14,40.0,61.0,0.2,16,7,0,0,L
Dustin Poirier,Dan Hooker,1593216000.0,69.0,155.0,72.0,Southpaw,601171200.0,5.3,50.0,4.33,52.0,1.24,36.0,64.0,1.3,30,9,0,1,72.0,155.0,75.0,Switch,634867200.0,5.03,48.0,4.72,51.0,0.73,34.0,78.0,0.3,24,12,0,0,W
Mike Perry,Mickey Gall,1593216000.0,70.0,170.0,71.0,Orthodox,684892800.0,4.32,47.0,5.16,52.0,0.81,40.0,78.0,0.2,14,8,0,0,74.0,170.0,74.0,Switch,696038400.0,3.5,49.0,4.72,49.0,1.15,32.0,37.0,1.6,7,7,0,0,W
Gian Villante,Maurice Greene,1593216000.0,75.0,230.0,76.0,Orthodox,493171200.0,4.38,44.0,5.47,55.0,0.45,23.0,83.0,0.0,17,14,0,0,79.0,258.0,80.0,Orthodox,520905600.0,3.28,45.0,3.61,45.0,0.0,0.0,27.0,0.4,9,7,0,0,L
Brendan Allen,Kyle Daukaus,1593216000.0,74.0,185.0,75.0,Orthodox,820108800.0,3.79,53.0,3.83,46.0,1.67,39.0,58.0,1.3,24,6,0,0,75.0,185.0,76.0,Southpaw,730771200.0,3.22,52.0,2.94,42.0,2.12,25.0,82.0,1.9,11,4,0,1,W
Takashi Sato,Jason Witt,1593216000.0,70.0,170.0,73.0,Southpaw,644889600.0,2.21,41.0,3.73,44.0,0.76,37.0,60.0,0.0,16,7,0,0,70.0,170.0,70.0,Orthodox,531705600.0,2.15,44.0,2.54,52.0,6.9,48.0,100.0,0.9,19,9,0,0,W
Sean Woodson,Julian Erosa,1593216000.0,74.0,145.0,78.0,Orthodox,707875200.0,5.66,46.0,4.2,58.0,0.63,62.0,84.0,0.4,13,1,1,0,73.0,145.0,74.0,Southpaw,617846400.0,6.18,48.0,6.31,48.0,1.69,48.0,58.0,0.8,30,12,0,0,L
Luis Pena,Khama Worthy,1593216000.0,75.0,155.0,75.0,Southpaw,741830400.0,3.66,46.0,3.12,51.0,1.17,33.0,48.0,1.2,9,3,0,0,71.0,155.0,74.0,Orthodox,529718400.0,4.18,48.0,4.45,46.0,0.0,0.0,57.0,0.7,16,9,0,0,L
Philipe Lins,Tanner Boser,1593216000.0,74.0,205.0,78.0,Orthodox,493084800.0,3.8,49.0,3.59,46.0,1.65,33.0,100.0,0.0,18,5,0,0,74.0,205.0,75.0,Orthodox,681091200.0,4.7,52.0,2.75,58.0,0.0,0.0,63.0,0.0,21,10,1,0,L
Kay Hansen,Jinh Yu Frey,1593216000.0,62.0,115.0,63.0,Orthodox,934588800.0,3.01,50.0,3.19,51.0,1.83,22.0,37.0,0.8,7,6,0,0,63.0,115.0,65.0,Southpaw,485395200.0,2.97,43.0,4.23,52.0,1.02,36.0,90.0,0.3,11,10,0,0,W
Jordan Griffin,Youssef Zalal,1593216000.0,70.0,145.0,73.0,Southpaw,636163200.0,2.52,46.0,3.02,50.0,1.45,35.0,42.0,1.9,18,9,0,0,70.0,145.0,72.0,Switch,841795200.0,2.84,49.0,1.71,65.0,2.34,35.0,59.0,1.5,16,5,1,0,L
Curtis Blaydes,Alexander Volkov,1592611200.0,76.0,265.0,80.0,Orthodox,666835200.0,3.54,50.0,1.91,58.0,5.69,53.0,31.0,0.0,18,5,0,1,79.0,250.0,80.0,Orthodox,593654400.0,4.97,57.0,2.99,54.0,0.61,66.0,72.0,0.2,38,11,0,0,W
Josh Emmett,Shane Burgos,1592611200.0,66.0,145.0,70.0,Orthodox,478742400.0,4.04,36.0,4.61,61.0,0.91,37.0,46.0,0.1,19,4,0,0,71.0,145.0,75.0,Orthodox,669340800.0,7.4,52.0,6.78,56.0,0.43,44.0,91.0,0.4,15,3,0,0,W
Raquel Pennington,Marion Reneau,1592611200.0,67.0,135.0,67.0,Orthodox,589420800.0,4.1,49.0,3.32,61.0,0.83,27.0,62.0,0.6,16,10,0,0,66.0,135.0,68.0,Orthodox,235612800.0,3.2,41.0,3.52,59.0,0.62,63.0,50.0,0.8,9,8,1,0,W
Belal Muhammad,Lyman Good,1592611200.0,71.0,170.0,72.0,Orthodox,584409600.0,4.39,43.0,3.48,57.0,2.28,39.0,89.0,0.2,24,3,0,1,72.0,170.0,74.0,Orthodox,485913600.0,5.34,48.0,4.01,63.0,0.27,100.0,75.0,0.0,21,6,0,1,W
Jim Miller,Roosevelt Roberts,1592611200.0,68.0,155.0,71.0,Southpaw,431049600.0,2.99,42.0,3.51,56.0,1.52,44.0,49.0,1.7,38,18,0,1,74.0,155.0,73.0,Orthodox,760924800.0,2.84,43.0,3.1,52.0,1.18,26.0,50.0,0.7,12,6,0,1,W
Marc-Andre Barriault,Oskar Piechota,1592611200.0,73.0,185.0,74.0,Orthodox,635299200.0,5.98,47.0,5.58,52.0,0.21,25.0,67.0,0.1,16,9,0,1,72.0,185.0,76.0,Southpaw,633139200.0,3.3,52.0,3.93,51.0,0.61,40.0,38.0,1.5,11,3,1,1,W
Cortney Casey,Gillian Robertson,1592611200.0,67.0,125.0,67.0,Orthodox,547171200.0,4.29,39.0,4.0,55.0,0.39,31.0,39.0,0.5,10,10,0,0,65.0,115.0,63.0,Orthodox,800668800.0,2.89,48.0,2.95,56.0,2.68,39.0,41.0,1.0,15,8,0,0,L
Frank Camacho,Justin Jaynes,1592611200.0,70.0,155.0,73.0,Orthodox,611452800.0,6.56,46.0,7.44,51.0,1.11,31.0,73.0,0.0,22,10,0,0,67.0,145.0,68.0,Orthodox,618710400.0,3.34,44.0,5.33,62.0,0.75,40.0,20.0,1.1,16,8,0,0,L
Roxanne Modafferi,Lauren Murphy,1592611200.0,67.0,125.0,69.0,Orthodox,401673600.0,3.35,30.0,5.7,51.0,1.35,23.0,30.0,0.1,25,21,0,0,65.0,125.0,67.0,Orthodox,428112000.0,4.05,39.0,5.25,55.0,1.03,25.0,69.0,0.1,16,6,0,0,L
Austin Hubbard,Max Rohskopf,1592611200.0,70.0,155.0,71.0,Orthodox,693360000.0,4.12,43.0,3.92,57.0,1.54,34.0,67.0,0.0,17,8,0,0,73.0,155.0,71.0,Orthodox,780624000.0,1.7,31.0,5.8,42.0,3.0,33.0,0.0,1.5,5,1,0,0,W
Jessica Eye,Cynthia Calvillo,1592006400.0,66.0,125.0,66.0,Orthodox,522806400.0,3.86,37.0,4.19,55.0,0.58,40.0,57.0,0.5,15,11,0,1,64.0,115.0,64.0,Orthodox,553132800.0,4.41,38.0,4.12,64.0,1.8,44.0,77.0,0.8,9,6,1,0,L
Karl Roberson,Marvin Vettori,1592006400.0,73.0,205.0,74.0,Southpaw,654998400.0,2.57,51.0,2.42,57.0,0.72,40.0,40.0,0.5,9,6,0,0,72.0,185.0,74.0,Southpaw,748483200.0,4.56,45.0,4.24,56.0,1.66,45.0,69.0,0.5,19,7,1,0,L
Charles Rosa,Kevin Aguilar,1592006400.0,69.0,145.0,69.0,Switch,525225600.0,3.08,36.0,3.86,47.0,1.67,35.0,38.0,1.0,14,8,0,0,67.0,155.0,73.0,Orthodox,589593600.0,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0,17,5,0,0,W
Andre Fili,Charles Jourdain,1592006400.0,71.0,145.0,74.0,Orthodox,646272000.0,3.88,37.0,4.11,51.0,2.15,43.0,70.0,0.2,24,11,0,1,69.0,135.0,69.0,Switch,817430400.0,5.43,48.0,4.27,56.0,0.34,21.0,47.0,0.6,16,8,1,0,W
Jordan Espinosa,Mark De La Rosa,1592006400.0,66.0,125.0,69.0,Orthodox,626486400.0,4.22,52.0,2.94,57.0,0.75,28.0,70.0,0.2,15,9,0,1,66.0,135.0,65.0,Orthodox,778291200.0,3.13,35.0,5.0,48.0,0.54,13.0,40.0,0.2,11,5,0,0,W
Mariya Agapova,Hannah Cifers,1592006400.0,66.0,125.0,68.0,Southpaw,860371200.0,4.43,54.0,3.62,52.0,0.55,66.0,45.0,0.8,10,5,0,0,61.0,115.0,62.0,Orthodox,709516800.0,4.99,44.0,5.39,52.0,0.26,100.0,64.0,0.3,10,7,0,0,W
Merab Dvalishvili,Gustavo Lopez,1592006400.0,66.0,135.0,68.0,Orthodox,663465600.0,4.36,42.0,2.51,56.0,5.89,35.0,82.0,0.3,19,4,0,0,65.0,135.0,67.0,Orthodox,614908800.0,2.48,40.0,3.87,57.0,1.74,41.0,31.0,0.7,12,6,1,0,W
Julia Avila,Gina Mazany,1592006400.0,67.0,135.0,68.0,Orthodox,579312000.0,2.59,43.0,2.86,50.0,0.54,33.0,50.0,0.3,9,3,0,0,66.0,125.0,68.0,Southpaw,587952000.0,3.73,50.0,3.52,50.0,4.34,52.0,33.0,0.2,7,6,0,0,W
Tyson Nam,Zarrukh Adashev,1592006400.0,67.0,125.0,68.0,Orthodox,434246400.0,3.87,33.0,4.97,65.0,0.0,0.0,87.0,0.0,21,14,1,0,65.0,125.0,65.0,Southpaw,712368000.0,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,4,4,0,0,W
Anthony Ivy,Christian Aguilera,1592006400.0,74.0,185.0,74.0,Orthodox,633052800.0,2.5,42.0,4.57,51.0,4.69,20.0,100.0,0.0,8,4,0,0,69.0,170.0,72.0,Switch,691027200.0,2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0,14,8,0,0,L
Amanda Nunes,Felicia Spencer,1591401600.0,68.0,135.0,69.0,Orthodox,580953600.0,4.55,51.0,2.62,57.0,2.73,54.0,82.0,0.7,23,5,0,0,66.0,145.0,68.0,Orthodox,659836800.0,3.21,48.0,4.54,45.0,1.18,18.0,27.0,0.2,9,3,0,0,W
Raphael Assuncao,Cody Garbrandt,1591401600.0,65.0,135.0,66.0,Orthodox,395884800.0,3.22,42.0,2.5,66.0,1.65,39.0,78.0,0.2,28,10,0,0,68.0,135.0,65.0,Orthodox,678844800.0,2.98,40.0,3.76,60.0,1.03,34.0,80.0,0.0,14,6,0,0,L
Aljamain Sterling,Cory Sandhagen,1591401600.0,67.0,145.0,71.0,Orthodox,617846400.0,4.41,52.0,2.21,58.0,2.51,29.0,42.0,0.7,24,5,0,0,71.0,135.0,70.0,Switch,703728000.0,5.02,44.0,3.46,56.0,1.19,32.0,63.0,0.3,17,5,0,0,W
Neil Magny,Anthony Rocco Martin,1591401600.0,75.0,170.0,80.0,Orthodox,554947200.0,3.43,46.0,2.48,51.0,2.12,38.0,53.0,0.2,29,14,0,0,72.0,170.0,73.0,Orthodox,629337600.0,2.68,37.0,2.59,58.0,0.71,27.0,68.0,1.0,17,6,0,0,W
Eddie Wineland,Sean O'Malley,1591401600.0,67.0,135.0,69.0,Orthodox,457056000.0,3.4,29.0,3.76,68.0,0.34,33.0,86.0,0.1,24,16,1,0,71.0,135.0,72.0,Switch,782956800.0,6.7,61.0,3.48,60.0,0.29,42.0,61.0,0.3,18,2,0,1,L
Alex Caceres,Chase Hooper,1591401600.0,70.0,145.0,73.0,Southpaw,582768000.0,4.21,49.0,3.09,62.0,0.54,68.0,64.0,0.7,21,15,0,1,73.0,155.0,74.0,Southpaw,937180800.0,4.97,52.0,3.26,37.0,1.83,27.0,57.0,2.4,15,3,1,0,W
Ian Heinisch,Gerald Meerschaert,1591401600.0,71.0,185.0,72.0,Orthodox,586742400.0,3.25,50.0,2.98,59.0,1.02,17.0,59.0,0.7,14,5,0,0,73.0,185.0,77.0,Southpaw,566784000.0,3.1,45.0,3.45,53.0,2.01,35.0,42.0,1.5,37,18,0,0,W
Cody Stamann,Brian Kelleher,1591401600.0,66.0,135.0,64.0,Orthodox,626572800.0,4.32,46.0,3.91,60.0,2.17,37.0,76.0,0.0,21,8,1,0,66.0,135.0,66.0,Switch,524793600.0,3.31,41.0,4.59,54.0,1.68,41.0,60.0,0.7,24,16,0,0,W
Charles Byrd,Maki Pitolo,1591401600.0,70.0,185.0,73.0,Orthodox,434678400.0,3.43,55.0,2.63,55.0,2.5,50.0,40.0,1.5,10,7,0,0,70.0,185.0,75.0,Orthodox,659404800.0,4.1,44.0,3.93,55.0,2.24,52.0,50.0,0.8,13,9,0,0,L
Jussier Formiga,Alex Perez,1591401600.0,65.0,125.0,67.0,Orthodox,482284800.0,1.42,39.0,2.34,64.0,1.82,35.0,87.0,0.6,23,8,0,0,66.0,125.0,65.0,Orthodox,701136000.0,4.19,46.0,3.2,58.0,2.04,46.0,77.0,0.8,25,9,0,0,L
Alonzo Menifield,Devin Clark,1591401600.0,72.0,205.0,76.0,Orthodox,561513600.0,3.77,54.0,3.7,49.0,0.63,33.0,76.0,0.2,15,5,1,0,72.0,205.0,75.0,Orthodox,639878400.0,3.03,54.0,3.24,44.0,2.17,32.0,58.0,0.1,14,9,0,0,L
Evan Dunham,Herbert Burns,1591401600.0,70.0,155.0,70.0,Southpaw,377481600.0,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,18,9,1,0,69.0,145.0,73.0,Orthodox,570758400.0,1.86,36.0,5.17,41.0,2.94,34.0,66.0,1.8,11,6,0,0,L
Tyron Woodley,Gilbert Burns,1590796800.0,69.0,170.0,74.0,Orthodox,386985600.0,2.36,48.0,2.76,54.0,1.06,40.0,87.0,0.4,19,7,1,0,70.0,170.0,71.0,Orthodox,522201600.0,3.17,48.0,3.57,52.0,2.1,37.0,53.0,0.5,22,8,0,0,L
Blagoy Ivanov,Augusto Sakai,1590796800.0,71.0,250.0,73.0,Southpaw,529200000.0,3.25,40.0,4.2,53.0,0.69,40.0,61.0,0.1,19,6,0,1,75.0,265.0,77.0,Orthodox,673747200.0,4.6,49.0,3.83,48.0,0.23,40.0,56.0,0.0,16,5,1,0,L
Billy Quarantillo,Spike Carlyle,1590796800.0,70.0,145.0,70.0,Orthodox,597542400.0,7.44,54.0,5.83,42.0,1.47,24.0,61.0,1.0,18,7,0,0,68.0,145.0,71.0,Switch,736646400.0,2.55,54.0,3.85,30.0,3.34,36.0,57.0,0.5,9,3,0,0,W
Roosevelt Roberts,Brok Weaver,1590796800.0,74.0,155.0,73.0,Orthodox,760924800.0,2.84,43.0,3.1,52.0,1.18,26.0,50.0,0.7,12,6,0,1,72.0,155.0,73.0,Southpaw,691891200.0,4.78,64.0,4.35,46.0,0.41,10.0,66.0,0.4,15,6,0,0,W
Mackenzie Dern,Hannah Cifers,1590796800.0,64.0,115.0,63.0,Orthodox,732931200.0,3.31,40.0,3.9,52.0,0.89,17.0,25.0,1.2,15,5,0,0,61.0,115.0,62.0,Orthodox,709516800.0,4.99,44.0,5.39,52.0,0.26,100.0,64.0,0.3,10,7,0,0,W
Daniel Rodriguez,Gabe Green,1590796800.0,73.0,170.0,74.0,Southpaw,536371200.0,7.5,49.0,5.47,58.0,0.59,54.0,57.0,0.1,18,5,0,0,70.0,155.0,73.0,Switch,736300800.0,6.28,45.0,6.95,47.0,0.83,50.0,53.0,0.3,11,5,0,0,W
Jamahal Hill,Klidson Abreu,1590796800.0,76.0,205.0,79.0,Southpaw,674611200.0,7.05,53.0,4.02,45.0,0.0,0.0,73.0,0.0,12,3,0,1,72.0,205.0,74.0,Orthodox,725155200.0,2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,15,4,0,1,W
Tim Elliott,Brandon Royval,1590796800.0,67.0,125.0,66.0,Southpaw,535766400.0,3.39,44.0,2.66,56.0,3.73,47.0,59.0,1.0,21,13,1,0,69.0,125.0,68.0,Southpaw,713923200.0,4.46,39.0,3.06,47.0,0.75,75.0,45.0,1.2,17,7,0,0,L
Louis Smolka,Casey Kenney,1590796800.0,69.0,135.0,68.0,Orthodox,679622400.0,4.67,47.0,4.11,53.0,1.69,35.0,32.0,1.8,17,9,0,0,67.0,135.0,68.0,Southpaw,669427200.0,4.85,42.0,4.67,58.0,1.09,35.0,61.0,0.4,16,4,1,0,L
Chris Gutierrez,Vince Morales,1590796800.0,69.0,135.0,67.0,Orthodox,672278400.0,4.72,59.0,2.64,64.0,0.26,30.0,71.0,0.1,21,6,2,0,67.0,135.0,70.0,Orthodox,658368000.0,3.98,36.0,4.48,53.0,0.36,30.0,65.0,0.0,16,8,0,0,W
Alistair Overeem,Walt Harris,1589587200.0,76.0,265.0,80.0,Orthodox,327369600.0,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,47,19,0,1,77.0,250.0,77.0,Southpaw,424051200.0,3.05,39.0,3.33,54.0,0.29,28.0,70.0,0.1,13,10,0,1,W
Claudia Gadelha,Angela Hill,1589587200.0,64.0,115.0,63.0,Orthodox,597456000.0,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7,18,5,0,0,63.0,115.0,64.0,Orthodox,474336000.0,5.46,49.0,4.93,61.0,0.76,32.0,74.0,0.1,17,14,0,0,W
Dan Ige,Edson Barboza,1589587200.0,67.0,145.0,71.0,Orthodox,681436800.0,3.66,45.0,3.5,56.0,0.99,26.0,57.0,0.2,18,9,0,0,71.0,145.0,75.0,Orthodox,506649600.0,4.11,44.0,4.65,56.0,0.45,50.0,72.0,0.1,24,12,0,0,W
Eryk Anders,Krzysztof Jotko,1589587200.0,73.0,185.0,75.0,Southpaw,545961600.0,3.54,48.0,4.05,50.0,1.71,24.0,80.0,0.1,17,8,0,1,73.0,185.0,77.0,Southpaw,619488000.0,2.98,42.0,2.23,57.0,1.33,39.0,82.0,0.1,24,6,0,0,L
Song Yadong,Marlon Vera,1589587200.0,68.0,135.0,67.0,Orthodox,881020800.0,4.49,43.0,3.96,55.0,0.66,40.0,72.0,0.2,21,8,1,1,68.0,135.0,70.0,Switch,723254400.0,4.27,49.0,5.37,50.0,0.51,39.0,72.0,0.8,23,10,1,0,W
Matt Brown,Miguel Baeza,1589587200.0,72.0,170.0,75.0,Orthodox,347932800.0,3.76,55.0,2.92,55.0,1.68,46.0,63.0,1.3,26,19,0,0,74.0,170.0,74.0,Orthodox,714528000.0,4.09,49.0,5.92,46.0,0.36,22.0,54.0,2.0,10,4,0,0,L
Anthony Hernandez,Kevin Holland,1589587200.0,72.0,185.0,75.0,Orthodox,750902400.0,4.9,63.0,2.88,46.0,6.64,44.0,65.0,2.3,13,2,0,1,75.0,185.0,81.0,Orthodox,720921600.0,4.22,49.0,3.22,50.0,0.82,38.0,53.0,0.6,26,13,0,1,L
Giga Chikadze,Irwin Rivera,1589587200.0,72.0,145.0,74.0,Orthodox,588470400.0,3.92,42.0,3.5,61.0,0.21,33.0,70.0,0.2,15,4,0,0,66.0,135.0,67.0,Southpaw,603417600.0,3.36,44.0,5.07,57.0,1.0,16.0,70.0,0.0,10,6,0,0,W
Darren Elkins,Nate Landwehr,1589587200.0,70.0,145.0,71.0,Orthodox,453513600.0,3.4,38.0,3.22,51.0,2.86,34.0,56.0,1.1,29,11,0,0,69.0,145.0,72.0,Orthodox,581558400.0,5.59,46.0,5.77,52.0,0.85,41.0,74.0,0.8,18,6,0,0,L
Cortney Casey,Mara Romero Borella,1589587200.0,67.0,125.0,67.0,Orthodox,547171200.0,4.29,39.0,4.0,55.0,0.39,31.0,39.0,0.5,10,10,0,0,66.0,125.0,69.0,Orthodox,518140800.0,2.54,37.0,2.48,71.0,1.83,44.0,66.0,0.2,12,9,0,2,W
Rodrigo Nascimento,Don'Tale Mayes,1589587200.0,74.0,246.0,80.0,Orthodox,722736000.0,3.71,47.0,4.34,44.0,1.02,37.0,60.0,0.5,11,3,0,1,78.0,260.0,81.0,Orthodox,695520000.0,3.51,43.0,3.79,46.0,0.65,38.0,58.0,0.0,11,7,0,1,W
Anthony Smith,Glover Teixeira,1589328000.0,76.0,205.0,76.0,Orthodox,585878400.0,3.2,49.0,4.88,45.0,0.44,23.0,50.0,0.6,38,21,0,0,74.0,205.0,76.0,Orthodox,309916800.0,3.73,49.0,4.43,51.0,2.11,33.0,60.0,0.9,33,9,0,0,L
Ben Rothwell,Ovince Saint Preux,1589328000.0,76.0,265.0,78.0,Orthodox,372124800.0,3.71,42.0,4.63,47.0,0.68,34.0,70.0,0.4,39,14,0,0,75.0,205.0,80.0,Southpaw,418608000.0,3.03,47.0,3.33,47.0,1.09,36.0,67.0,0.5,27,18,0,0,W
Alexander Hernandez,Drew Dober,1589328000.0,69.0,155.0,72.0,Orthodox,717897600.0,4.43,41.0,4.61,57.0,0.95,29.0,71.0,0.1,15,8,0,0,68.0,155.0,70.0,Southpaw,593222400.0,4.39,40.0,4.25,51.0,0.67,17.0,56.0,0.1,27,14,0,1,L
Ricky Simon,Ray Borg,1589328000.0,66.0,135.0,69.0,Orthodox,715219200.0,2.99,43.0,3.84,61.0,5.2,44.0,75.0,0.3,20,6,0,0,64.0,135.0,63.0,Orthodox,744422400.0,1.52,52.0,1.93,48.0,3.89,50.0,46.0,1.0,13,5,0,0,W
Andrei Arlovski,Philipe Lins,1589328000.0,75.0,240.0,77.0,Orthodox,286934400.0,3.82,45.0,3.22,57.0,0.37,35.0,76.0,0.2,34,24,0,2,74.0,205.0,78.0,Orthodox,493084800.0,3.8,49.0,3.59,46.0,1.65,33.0,100.0,0.0,18,5,0,0,W
Michael Johnson,Thiago Moises,1589328000.0,70.0,155.0,73.0,Southpaw,518227200.0,4.23,39.0,3.8,58.0,0.61,40.0,81.0,0.0,24,19,0,0,69.0,155.0,70.0,Orthodox,795916800.0,2.5,41.0,4.12,53.0,1.34,35.0,53.0,1.2,19,8,0,0,L
Sijara Eubanks,Sarah Moras,1589328000.0,64.0,125.0,67.0,Orthodox,483408000.0,4.3,43.0,3.43,57.0,1.9,44.0,66.0,0.3,8,7,0,0,67.0,135.0,67.0,Orthodox,578361600.0,2.28,34.0,3.58,50.0,0.67,21.0,33.0,0.8,6,8,0,0,W
Gabriel Benitez,Omar Morales,1589328000.0,68.0,155.0,71.0,Southpaw,582336000.0,5.26,41.0,4.49,63.0,0.22,50.0,55.0,0.9,23,13,0,0,71.0,155.0,73.0,Orthodox,498355200.0,3.42,40.0,3.18,58.0,0.46,100.0,63.0,0.0,11,4,0,0,L
Hunter Azure,Brian Kelleher,1589328000.0,68.0,145.0,69.0,Orthodox,699494400.0,3.92,53.0,2.08,58.0,1.97,34.0,67.0,1.3,9,2,0,0,66.0,135.0,66.0,Switch,524793600.0,3.31,41.0,4.59,54.0,1.68,41.0,60.0,0.7,24,16,0,0,L
Chase Sherman,Ike Villanueva,1589328000.0,76.0,250.0,78.0,Orthodox,627177600.0,6.04,45.0,6.65,52.0,0.09,50.0,74.0,0.0,16,12,0,0,73.0,205.0,73.0,Orthodox,449884800.0,3.66,38.0,7.24,36.0,0.6,50.0,100.0,0.0,18,14,0,0,W
Tony Ferguson,Justin Gaethje,1588982400.0,71.0,170.0,76.0,Orthodox,445392000.0,4.91,45.0,4.37,55.0,0.39,35.0,66.0,0.9,26,11,0,0,71.0,155.0,70.0,Orthodox,595468800.0,6.78,59.0,7.46,52.0,0.11,25.0,75.0,0.0,25,5,0,0,L
Henry Cejudo,Dominick Cruz,1588982400.0,64.0,135.0,64.0,Orthodox,539827200.0,3.77,46.0,3.29,60.0,1.99,32.0,75.0,0.2,16,4,0,0,68.0,135.0,68.0,Orthodox,479174400.0,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,24,4,0,0,W
Francis Ngannou,Jairzinho Rozenstruik,1588982400.0,76.0,250.0,83.0,Orthodox,526262400.0,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3,17,3,0,0,74.0,242.0,78.0,Orthodox,574560000.0,3.48,48.0,2.63,52.0,0.0,0.0,72.0,0.0,15,6,0,0,W
Jeremy Stephens,Calvin Kattar,1588982400.0,69.0,145.0,71.0,Orthodox,517363200.0,3.17,40.0,3.05,58.0,1.16,38.0,65.0,0.4,28,19,0,1,71.0,145.0,72.0,Orthodox,575337600.0,4.76,39.0,6.75,54.0,0.39,29.0,72.0,0.1,23,8,0,0,L
Greg Hardy,Yorgan De Castro,1588982400.0,77.0,265.0,80.0,Orthodox,586051200.0,4.79,50.0,3.31,55.0,0.2,33.0,64.0,0.0,7,5,0,1,72.0,250.0,74.0,Orthodox,535334400.0,2.46,43.0,3.85,53.0,0.0,0.0,77.0,0.0,6,3,0,0,W
Anthony Pettis,Donald Cerrone,1588982400.0,70.0,155.0,72.0,Orthodox,538704000.0,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1,24,10,0,0,73.0,155.0,73.0,Orthodox,417744000.0,4.41,46.0,4.48,53.0,1.16,33.0,73.0,1.2,36,17,0,2,W
Aleksei Oleinik,Fabricio Werdum,1588982400.0,74.0,240.0,80.0,Orthodox,235612800.0,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9,60,17,1,0,76.0,231.0,77.0,Orthodox,239068800.0,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,24,9,1,0,W
Vicente Luque,Niko Price,1588982400.0,71.0,170.0,75.0,Orthodox,691200000.0,5.05,51.0,5.22,52.0,0.99,53.0,62.0,0.7,23,10,1,0,72.0,170.0,76.0,Orthodox,623030400.0,5.21,42.0,5.58,48.0,1.04,29.0,52.0,0.7,16,8,0,2,W
