Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Luiz Dutra,71.0,170.0,,Orthodox,389491200.0,3.92,50.0,4.8,41.0,0.0,0.0,100.0,0.0,13,6,1,0
Merab Dvalishvili,66.0,135.0,68.0,Orthodox,663465600.0,4.36,42.0,2.51,56.0,5.89,35.0,82.0,0.3,19,4,0,0
David Dvorak,65.0,125.0,68.0,Orthodox,707702400.0,3.48,43.0,3.29,59.0,0.58,30.0,70.0,0.2,20,6,0,0
Matt Dwyer,76.0,170.0,76.0,Orthodox,629856000.0,2.57,34.0,3.24,54.0,0.44,10.0,60.0,0.0,9,4,0,0
Rolando Dy,68.0,145.0,69.0,Orthodox,650332800.0,3.04,37.0,4.47,52.0,0.3,20.0,68.0,0.0,9,7,1,1
Cody East,75.0,245.0,,Orthodox,583545600.0,4.15,43.0,7.32,40.0,3.97,100.0,16.0,0.0,12,3,0,0
Marvin Eastman,69.0,185.0,73.0,Orthodox,45187200.0,2.21,35.0,3.92,42.0,1.38,33.0,81.0,0.0,18,15,1,0
Mike Easton,66.0,135.0,70.0,Southpaw,443836800.0,3.51,37.0,4.28,61.0,0.75,22.0,66.0,0.0,13,6,0,0
Brian Ebersole,72.0,170.0,73.0,Southpaw,344131200.0,2.32,49.0,2.14,56.0,1.7,23.0,61.0,0.1,51,18,1,1
Mark Eddiva,68.0,145.0,68.0,Orthodox,508896000.0,3.37,45.0,2.98,54.0,1.45,22.0,63.0,0.0,6,3,0,0
Frankie Edgar,66.0,135.0,68.0,Orthodox,372038400.0,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,23,11,1,0
Abdul-Kerim Edilov,74.0,205.0,,Orthodox,691027200.0,10.22,61.0,0.13,92.0,3.98,100.0,0.0,2.0,17,4,0,0
Johnny Eduardo,67.0,135.0,71.0,Orthodox,270950400.0,2.95,39.0,3.22,63.0,0.22,20.0,58.0,0.4,28,13,0,0
Yves Edwards,69.0,155.0,73.0,Southpaw,212889600.0,2.91,42.0,2.34,66.0,0.76,53.0,69.0,0.7,42,22,1,1
Justin Edwards,70.0,155.0,70.0,Orthodox,412387200.0,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,9,5,0,0
Leon Edwards,74.0,170.0,74.0,Southpaw,683078400.0,2.68,53.0,2.37,53.0,1.25,36.0,65.0,0.4,22,4,0,1
Te Edwards,68.0,155.0,72.0,Orthodox,653011200.0,1.5,41.0,4.15,44.0,0.72,100.0,44.0,0.0,6,3,0,0
Joselyne Edwards,68.0,135.0,70.0,Orthodox,812332800.0,4.48,52.0,3.19,49.0,1.23,39.0,61.0,0.6,14,6,0,0
Stephanie Egger,66.0,135.0,68.0,Orthodox,587347200.0,2.2,46.0,2.48,52.0,2.48,42.0,50.0,0.6,8,5,0,0
Justin Eilers,73.0,235.0,,Orthodox,267840000.0,2.86,43.0,5.66,49.0,0.82,25.0,50.0,0.0,19,7,1,0
Jon Olav Einemo,78.0,253.0,,Orthodox,187401600.0,2.15,52.0,3.05,52.0,1.73,55.0,43.0,0.0,6,3,0,0
Evan Elder,70.0,155.0,72.0,Switch,860716800.0,5.02,49.0,4.79,57.0,0.63,20.0,33.0,0.6,9,2,0,0
Billy Elekana,75.0,205.0,77.0,Southpaw,801619200.0,2.34,71.0,5.5,33.0,1.75,100.0,0.0,0.0,7,2,0,0
Darren Elkins,70.0,145.0,71.0,Orthodox,453513600.0,3.4,38.0,3.22,51.0,2.86,34.0,56.0,1.1,29,11,0,0
Jake Ellenberger,69.0,170.0,71.0,Orthodox,480816000.0,2.47,39.0,2.83,60.0,2.04,47.0,86.0,0.4,31,15,0,0
Joe Ellenberger,69.0,155.0,72.0,Orthodox,480816000.0,1.62,47.0,3.45,48.0,3.17,40.0,0.0,1.1,15,2,0,0
Tim Elliott,67.0,125.0,66.0,Southpaw,535766400.0,3.39,44.0,2.66,56.0,3.73,47.0,59.0,1.0,21,13,1,0
Oban Elliott,72.0,170.0,72.0,Orthodox,882489600.0,4.26,49.0,2.25,62.0,2.16,50.0,72.0,0.0,12,2,0,0
Lisa Ellis,64.0,115.0,,,406166400.0,1.68,48.0,2.32,57.0,4.19,63.0,50.0,0.6,15,11,0,0
Anna Elmose,63.0,115.0,,Orthodox,465868800.0,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,3,2,0,0
Cameron Else,69.0,135.0,71.0,Switch,546480000.0,1.99,40.0,8.09,51.0,0.0,0.0,0.0,0.0,10,6,0,0
Ramazan Emeev,70.0,170.0,76.0,Southpaw,548726400.0,2.53,45.0,2.14,65.0,2.37,29.0,66.0,0.7,20,6,0,0
Rob Emerson,69.0,155.0,70.0,Orthodox,365299200.0,2.5,30.0,2.83,64.0,2.02,52.0,65.0,0.4,18,12,0,1
Jamall Emmers,70.0,145.0,74.0,Orthodox,617241600.0,5.3,48.0,4.05,57.0,1.83,40.0,90.0,0.2,20,8,0,0
Josh Emmett,66.0,145.0,70.0,Orthodox,478742400.0,4.04,36.0,4.61,61.0,0.91,37.0,46.0,0.1,19,4,0,0
Oliver Enkamp,72.0,170.0,77.0,Switch,681782400.0,2.38,36.0,3.55,37.0,0.87,16.0,0.0,0.0,7,2,0,0
Ian Entwistle,65.0,135.0,,Orthodox,532742400.0,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,9,3,0,0
Andy Enz,75.0,185.0,78.0,Orthodox,682214400.0,3.51,23.0,5.32,57.0,0.0,0.0,58.0,0.0,10,4,0,0
Steve Erceg,68.0,125.0,68.0,Orthodox,806803200.0,4.37,48.0,4.22,53.0,1.16,26.0,60.0,0.5,12,3,0,0
Konstantin Erokhin,71.0,230.0,,Orthodox,412819200.0,1.07,36.0,1.83,47.0,0.0,0.0,70.0,0.0,9,3,0,0
Julian Erosa,73.0,145.0,74.0,Southpaw,617846400.0,6.18,48.0,6.31,48.0,1.69,48.0,58.0,0.8,30,12,0,0
Jarno Errens,71.0,145.0,73.0,Orthodox,785030400.0,3.29,44.0,3.29,61.0,0.0,0.0,33.0,0.3,14,6,1,0
Ivan Erslan,74.0,205.0,72.0,Orthodox,690163200.0,2.6,56.0,3.0,62.0,1.0,50.0,75.0,0.0,14,4,0,1
Cole Escovedo,67.0,135.0,72.0,Orthodox,367977600.0,1.77,43.0,4.32,49.0,0.43,33.0,13.0,0.0,17,9,0,0
Efrain Escudero,69.0,155.0,71.0,Orthodox,506131200.0,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,28,12,0,0
Carla Esparza,61.0,115.0,63.0,Orthodox,560822400.0,2.19,39.0,2.87,54.0,3.28,36.0,47.0,0.3,20,8,0,0
Juan Espino,75.0,255.0,80.0,Orthodox,339897600.0,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.4,11,2,0,0
Jordan Espinosa,66.0,125.0,69.0,Orthodox,626486400.0,4.22,52.0,2.94,57.0,0.75,28.0,70.0,0.2,15,9,0,1
Jodie Esquibel,61.0,115.0,64.0,Orthodox,515808000.0,4.1,31.0,7.37,52.0,0.75,21.0,83.0,0.0,6,6,0,0
Rafael Estevam,68.0,125.0,69.0,Orthodox,839635200.0,2.94,64.0,3.35,34.0,3.35,19.0,0.0,0.7,12,0,0,0
Terry Etim,73.0,155.0,73.0,Orthodox,505785600.0,2.16,35.0,2.53,67.0,0.43,30.0,39.0,1.4,16,5,0,0
Sijara Eubanks,64.0,125.0,67.0,Orthodox,483408000.0,4.3,43.0,3.43,57.0,1.9,44.0,66.0,0.3,8,7,0,0
Rashad Evans,72.0,205.0,75.0,Orthodox,307065600.0,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,19,8,1,0
Doug Evans,69.0,155.0,,Orthodox,339984000.0,1.79,35.0,2.55,55.0,3.19,83.0,69.0,0.6,13,10,0,0
Ashlee Evans-Smith,68.0,135.0,67.0,Orthodox,552787200.0,4.03,34.0,4.59,53.0,0.95,22.0,50.0,0.0,6,6,0,0
Dan Evensen,75.0,250.0,,Orthodox,139276800.0,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,11,4,0,0
Tonya Evinger,67.0,135.0,70.0,Orthodox,360460800.0,1.16,42.0,4.02,38.0,0.93,30.0,33.0,0.9,19,8,0,1
Movsar Evloev,67.0,145.0,72.0,Orthodox,760924800.0,3.99,48.0,2.66,60.0,4.67,48.0,61.0,0.2,19,0,0,0
Andre Ewell,68.0,145.0,75.0,Southpaw,569721600.0,4.28,40.0,4.87,51.0,0.36,75.0,72.0,0.1,17,9,0,0
Jessica Eye,66.0,125.0,66.0,Orthodox,522806400.0,3.86,37.0,4.19,55.0,0.58,40.0,57.0,0.5,15,11,0,1
Edward Faaloloto,,155.0,70.0,Orthodox,458697600.0,2.28,32.0,6.25,44.0,1.01,25.0,33.0,0.0,2,5,0,0
Urijah Faber,66.0,135.0,67.0,Orthodox,295488000.0,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8,35,11,0,0
Melinda Fabian,66.0,125.0,66.0,Orthodox,551577600.0,4.03,41.0,4.0,62.0,0.0,0.0,100.0,0.0,4,4,2,0
Bartosz Fabinski,72.0,170.0,75.0,Orthodox,514857600.0,2.23,68.0,1.46,51.0,7.1,70.0,80.0,0.0,15,5,0,0
Ron Faircloth,69.0,205.0,,Orthodox,303609600.0,0.39,40.0,8.9,42.0,0.0,0.0,0.0,0.0,33,20,0,1
Zarah Fairn,68.0,135.0,72.0,Orthodox,439862400.0,4.55,31.0,7.4,45.0,0.0,0.0,60.0,0.0,6,6,0,0
Rinat Fakhretdinov,72.0,170.0,74.0,Orthodox,686016000.0,4.78,52.0,3.58,53.0,3.95,34.0,91.0,0.2,23,1,1,0
Maiquel Falcao,71.0,185.0,,Orthodox,352857600.0,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0,37,10,0,1
Pedro Falcao,66.0,135.0,66.0,Orthodox,712454400.0,2.9,48.0,2.63,48.0,2.07,22.0,83.0,0.0,16,4,0,0
Brodie Farber,73.0,170.0,,Orthodox,331603200.0,1.69,45.0,2.17,53.0,0.9,50.0,20.0,0.9,16,7,0,0
Kalindra Faria,67.0,125.0,,Switch,522460800.0,2.23,56.0,1.44,45.0,1.31,66.0,20.0,0.7,18,8,1,0
Kelly Faszholz,68.0,135.0,,Orthodox,481852800.0,4.01,48.0,3.61,52.0,0.0,0.0,44.0,0.0,4,2,0,0
Paul Felder,71.0,155.0,70.0,Orthodox,451699200.0,3.7,44.0,3.44,48.0,0.29,28.0,64.0,0.2,17,6,0,0
Carlos Felipe,72.0,245.0,75.0,Orthodox,789868800.0,4.88,45.0,5.6,50.0,0.0,0.0,72.0,0.0,11,2,0,0
Feng Xiaocan,67.0,115.0,66.0,Southpaw,1009411200.0,5.43,50.0,1.76,73.0,1.08,100.0,66.0,0.0,10,3,0,0
Kevin Ferguson,74.0,235.0,77.0,Orthodox,129513600.0,2.3,50.0,3.41,38.0,3.1,72.0,36.0,1.2,5,2,0,1
Tony Ferguson,71.0,170.0,76.0,Orthodox,445392000.0,4.91,45.0,4.37,55.0,0.39,35.0,66.0,0.9,26,11,0,0
Josh Ferguson,65.0,125.0,,Orthodox,579484800.0,2.13,43.0,4.18,32.0,0.59,11.0,54.0,0.0,10,5,0,0
CJ Fernandes,74.0,170.0,,,248227200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,3,0
Gabriella Fernandes,66.0,125.0,66.0,Southpaw,745200000.0,3.46,46.0,5.5,49.0,0.56,18.0,60.0,0.3,10,3,0,0
Kaue Fernandes,69.0,155.0,73.0,Orthodox,795398400.0,3.04,57.0,0.86,66.0,0.76,100.0,62.0,0.0,9,2,0,0
Alexandre Ferreira,67.0,205.0,,Orthodox,293846400.0,2.57,60.0,8.14,42.0,0.0,0.0,0.0,0.0,18,6,0,0
Cezar Ferreira,73.0,185.0,78.0,Southpaw,477273600.0,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5,13,8,0,0
Diego Ferreira,69.0,155.0,74.0,Orthodox,474854400.0,4.82,40.0,3.46,55.0,0.86,30.0,57.0,0.6,19,6,0,0
Brunno Ferreira,70.0,185.0,72.0,Orthodox,720835200.0,3.76,50.0,3.12,52.0,0.5,16.0,53.0,0.5,12,2,0,0
Scott Ferrozzo,71.0,323.0,,Orthodox,-147830400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0
Andre Fialho,72.0,170.0,74.0,Orthodox,765676800.0,3.3,41.0,6.26,45.0,0.25,100.0,66.0,0.0,16,8,0,1
Drew Fickett,70.0,155.0,70.0,Orthodox,313977600.0,2.33,41.0,2.29,57.0,1.3,35.0,30.0,2.2,42,21,0,0
Michal Figlak,70.0,155.0,70.0,Orthodox,840067200.0,4.0,39.0,4.93,52.0,0.5,12.0,57.0,0.0,8,2,0,0
Deiveson Figueiredo,65.0,135.0,68.0,Orthodox,566784000.0,2.91,54.0,3.55,49.0,1.62,34.0,60.0,1.4,24,4,1,0
Francisco Figueiredo,66.0,125.0,68.0,Southpaw,625104000.0,2.04,61.0,2.59,61.0,2.51,75.0,76.0,0.4,13,5,1,1
Edwin Figueroa,67.0,135.0,69.0,Orthodox,460080000.0,2.57,39.0,3.06,51.0,0.2,100.0,37.0,0.6,9,5,0,0
Jafel Filho,67.0,125.0,68.0,Orthodox,736560000.0,2.36,41.0,2.0,47.0,1.77,33.0,55.0,2.6,16,3,0,0
Andre Fili,71.0,145.0,74.0,Orthodox,646272000.0,3.88,37.0,4.11,51.0,2.15,43.0,70.0,0.2,24,11,0,1
Luigi Fioravanti,68.0,170.0,70.0,Orthodox,348969600.0,2.23,42.0,2.21,69.0,3.76,63.0,67.0,0.9,26,15,0,0
Nick Fiore,70.0,155.0,72.0,Orthodox,881712000.0,2.83,46.0,7.93,42.0,2.5,45.0,71.0,0.0,6,2,0,0
Manon Fiorot,67.0,125.0,65.0,Orthodox,635212800.0,6.26,41.0,3.77,68.0,1.17,42.0,93.0,0.0,12,1,0,0
Spencer Fisher,67.0,155.0,68.0,Southpaw,200448000.0,3.17,43.0,3.03,64.0,0.67,30.0,60.0,0.8,24,9,0,0
Chris Fishgold,68.0,145.0,68.0,Orthodox,707788800.0,2.01,32.0,2.7,46.0,2.59,46.0,44.0,1.3,18,4,1,0
Jon Fitch,72.0,170.0,74.0,Orthodox,257126400.0,2.61,50.0,1.65,54.0,3.6,51.0,56.0,0.8,30,7,1,1
Rafael Fiziev,68.0,155.0,71.0,Switch,731289600.0,4.9,51.0,4.97,49.0,0.29,40.0,89.0,0.0,12,3,0,0
Colin Fletcher,74.0,155.0,,Orthodox,410832000.0,3.1,34.0,2.97,62.0,0.0,0.0,27.0,0.0,14,8,0,0
AJ Fletcher,70.0,170.0,67.0,Switch,856224000.0,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,10,3,0,0
Nathan Fletcher,67.0,135.0,70.0,Orthodox,883785600.0,2.25,70.0,0.96,40.0,9.63,66.0,0.0,2.4,9,1,0,0
Jimmy Flick,67.0,125.0,68.0,Orthodox,652665600.0,1.94,50.0,5.43,43.0,1.55,21.0,0.0,4.3,17,8,0,0
Kenny Florian,70.0,145.0,74.0,Southpaw,201916800.0,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3,14,6,0,0
Darrius Flowers,69.0,155.0,71.0,Orthodox,777772800.0,3.07,49.0,5.49,44.0,0.98,28.0,63.0,0.0,12,8,1,0
Caros Fodor,69.0,155.0,74.0,Orthodox,442281600.0,2.76,54.0,2.83,54.0,2.1,25.0,50.0,0.0,11,6,0,0
Rob Font,68.0,135.0,71.0,Orthodox,551577600.0,5.44,45.0,3.58,57.0,0.84,34.0,44.0,0.3,21,8,0,0
Jesse Forbes,74.0,185.0,75.0,Southpaw,467424000.0,2.11,24.0,4.06,53.0,1.79,75.0,66.0,1.2,15,5,0,0
Jussier Formiga,65.0,125.0,67.0,Orthodox,482284800.0,1.42,39.0,2.34,64.0,1.82,35.0,87.0,0.6,23,8,0,0
Renee Forte,67.0,155.0,71.0,Orthodox,543801600.0,2.08,32.0,2.12,63.0,2.32,58.0,66.0,0.0,8,4,0,0
Marcel Fortuna,73.0,205.0,74.0,Orthodox,498787200.0,3.83,46.0,4.52,64.0,0.45,8.0,75.0,0.5,9,3,0,0
Brian Foster,69.0,170.0,71.0,Orthodox,449798400.0,3.3,39.0,1.63,65.0,3.67,60.0,37.0,1.8,27,10,0,0
Xavier Foupa-Pokam,73.0,185.0,,Open Stance,394502400.0,1.47,43.0,2.5,49.0,0.0,0.0,16.0,0.0,32,22,0,0
Hermes Franca,66.0,155.0,71.0,Orthodox,146707200.0,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4,24,17,0,1
Rich Franklin,73.0,185.0,76.0,Southpaw,150163200.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,29,7,0,1
Justin Frazier,72.0,265.0,75.0,Southpaw,613872000.0,1.11,66.0,6.11,4.0,0.0,0.0,0.0,0.0,10,3,0,0
Ian Freeman,71.0,225.0,,Orthodox,-99187200.0,2.54,48.0,3.11,44.0,1.44,40.0,80.0,0.7,20,7,1,0
Willamy Freire,68.0,155.0,,Orthodox,554428800.0,1.53,37.0,0.93,62.0,0.5,100.0,73.0,0.0,26,6,0,0
Josh Fremd,76.0,185.0,76.0,Orthodox,758592000.0,2.52,44.0,2.23,47.0,0.66,25.0,30.0,1.1,11,6,0,0
Matt Frevola,69.0,155.0,71.0,Orthodox,645062400.0,3.37,40.0,3.69,57.0,2.39,39.0,36.0,1.0,11,5,1,0
Jinh Yu Frey,63.0,115.0,65.0,Southpaw,485395200.0,2.97,43.0,4.23,52.0,1.02,36.0,90.0,0.3,11,10,0,0
Sarah Frota,66.0,125.0,69.0,Southpaw,545356800.0,4.52,52.0,2.57,55.0,0.0,0.0,53.0,0.0,9,2,0,0
Don Frye,73.0,219.0,,Orthodox,-129600000.0,2.87,64.0,3.57,37.0,0.91,57.0,45.0,0.7,20,9,1,1
Tony Fryklund,72.0,185.0,,Orthodox,38793600.0,3.49,39.0,6.5,43.0,0.0,0.0,66.0,0.5,14,9,1,0
Adam Fugitt,73.0,170.0,77.0,Southpaw,600566400.0,4.72,45.0,4.48,51.0,2.04,29.0,50.0,0.0,10,4,0,0
Katsuhisa Fujii,72.0,205.0,,Orthodox,82684800.0,4.0,50.0,4.43,64.0,2.14,25.0,50.0,2.1,9,18,1,0
Riki Fukuda,72.0,185.0,73.0,Southpaw,347587200.0,4.24,43.0,3.71,64.0,2.17,43.0,70.0,0.0,24,9,0,1
Masio Fullen,70.0,145.0,70.0,Orthodox,528940800.0,2.46,32.0,3.5,54.0,0.47,33.0,69.0,0.0,11,7,0,0
Travis Fulton,72.0,240.0,,Orthodox,233712000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,53,10,1
Ricardo Funch,70.0,170.0,74.0,Southpaw,335059200.0,2.61,65.0,3.57,40.0,1.24,18.0,60.0,0.0,9,6,0,0
Claudia Gadelha,64.0,115.0,63.0,Orthodox,597456000.0,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7,18,5,0,0
Magomed Gadzhiyasulov,74.0,205.0,75.0,Orthodox,752371200.0,2.89,49.0,1.64,62.0,3.67,73.0,61.0,0.0,9,1,0,0
Justin Gaethje,71.0,155.0,70.0,Orthodox,595468800.0,6.78,59.0,7.46,52.0,0.11,25.0,75.0,0.0,25,5,0,0
Sheila Gaff,65.0,135.0,,Orthodox,630892800.0,1.6,50.0,2.89,28.0,0.0,0.0,20.0,0.0,9,7,0,0
Muin Gafurov,67.0,135.0,68.0,Orthodox,832291200.0,2.89,45.0,2.21,52.0,1.47,26.0,70.0,0.0,20,6,0,0
Mitch Gagnon,65.0,135.0,65.0,Southpaw,466214400.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9,12,5,0,0
Dave Galera,71.0,135.0,,Orthodox,253411200.0,1.67,69.0,0.53,33.0,0.0,0.0,14.0,2.0,5,1,0,0
Mickey Gall,74.0,170.0,74.0,Switch,696038400.0,3.5,49.0,4.72,49.0,1.15,32.0,37.0,1.6,7,7,0,0
Tom Gallicchio,70.0,170.0,,Southpaw,527817600.0,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0,19,10,0,0
Joey Gambino,67.0,145.0,,Orthodox,593827200.0,2.47,35.0,2.53,51.0,0.0,0.0,42.0,0.8,9,2,0,0
Manvel Gamburyan,65.0,135.0,67.0,Orthodox,358128000.0,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7,15,10,0,1
Mateusz Gamrot,70.0,155.0,70.0,Southpaw,660873600.0,3.23,50.0,3.22,58.0,5.25,35.0,90.0,0.1,24,3,0,1
Shamil Gamzatov,74.0,205.0,76.0,Orthodox,650160000.0,5.35,48.0,3.46,51.0,0.0,0.0,50.0,0.0,14,1,0,0
Ciryl Gane,76.0,245.0,81.0,Orthodox,639878400.0,5.26,61.0,2.23,61.0,0.7,25.0,43.0,0.6,13,2,0,0
Eduardo Garagorri,69.0,145.0,70.0,Orthodox,612316800.0,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0,13,2,0,0
Cody Garbrandt,68.0,135.0,65.0,Orthodox,678844800.0,2.98,40.0,3.76,60.0,1.03,34.0,80.0,0.0,14,6,0,0
Leonard Garcia,70.0,145.0,68.0,Orthodox,300758400.0,2.77,24.0,4.79,52.0,0.3,26.0,42.0,0.5,18,13,1,0
Edgar Garcia,70.0,170.0,71.0,Orthodox,446256000.0,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6,14,5,0,0
Alex Garcia,69.0,170.0,72.0,Orthodox,553219200.0,1.81,31.0,3.03,59.0,3.72,52.0,66.0,0.1,15,6,0,0
Steve Garcia,72.0,145.0,75.0,Southpaw,706492800.0,5.04,56.0,2.34,46.0,1.17,40.0,88.0,0.6,17,5,0,0
Elias Garcia,65.0,125.0,67.0,Southpaw,716342400.0,1.59,27.0,5.05,50.0,0.68,14.0,33.0,1.4,6,2,0,0
Rafa Garcia,67.0,155.0,70.0,Orthodox,776044800.0,3.97,42.0,4.36,61.0,3.38,44.0,75.0,0.3,16,4,0,0
Fernie Garcia,67.0,135.0,67.0,Orthodox,703036800.0,2.04,34.0,3.79,48.0,0.28,50.0,50.0,0.6,10,5,0,0
Pablo Garza,73.0,145.0,73.0,Orthodox,432518400.0,3.37,44.0,2.7,50.0,0.94,25.0,15.0,1.3,12,4,0,0
Azamat Gashimov,66.0,125.0,,Orthodox,639446400.0,1.24,21.0,4.75,53.0,1.69,25.0,0.0,0.0,8,3,0,0
Brian Gassaway,73.0,170.0,,Orthodox,81993600.0,0.34,26.0,3.65,44.0,0.0,0.0,42.0,0.0,29,20,2,1
Kelvin Gastelum,69.0,170.0,71.0,Southpaw,688262400.0,3.74,42.0,3.48,57.0,1.1,34.0,59.0,0.1,19,9,0,1
Willie Gates,68.0,125.0,72.0,Orthodox,538185600.0,1.8,38.0,4.28,38.0,0.0,0.0,67.0,0.4,12,7,0,0
Melissa Gatto,65.0,135.0,69.0,Orthodox,830995200.0,3.78,49.0,2.84,54.0,1.47,28.0,63.0,0.5,9,2,2,0
Louis Gaudinot,63.0,125.0,63.0,Orthodox,462499200.0,2.34,37.0,6.42,48.0,0.57,40.0,31.0,1.1,8,4,0,1
Shamil Gaziev,76.0,265.0,78.0,Orthodox,634608000.0,2.57,48.0,3.87,44.0,0.96,30.0,83.0,0.3,14,1,0,0
Paul Georgieff,74.0,170.0,,Orthodox,401500800.0,2.55,40.0,2.34,35.0,0.0,0.0,0.0,0.0,6,2,0,0
Brian Geraghty,67.0,155.0,,Orthodox,342144000.0,0.47,25.0,9.77,36.0,0.0,0.0,50.0,0.0,26,18,1,0
Karine Gevorgyan,64.0,125.0,63.0,,605404800.0,1.2,20.0,1.8,76.0,0.0,0.0,0.0,0.0,3,3,0,0
Yanis Ghemmouri,69.0,135.0,69.0,Orthodox,790905600.0,2.29,38.0,5.14,35.0,0.0,0.0,0.0,0.0,12,3,0,0
Tiki Ghosn,70.0,170.0,,Orthodox,224294400.0,2.78,46.0,2.94,58.0,0.41,50.0,61.0,0.0,10,7,1,0
Christos Giagos,70.0,155.0,71.0,Orthodox,633052800.0,3.03,41.0,3.21,50.0,2.84,36.0,52.0,0.4,20,12,0,0
Joe Giannetti,72.0,155.0,74.0,Southpaw,804902400.0,1.93,38.0,2.8,40.0,1.0,16.0,0.0,0.0,6,1,0,0
James Giboo,71.0,170.0,,Orthodox,252892800.0,1.2,27.0,7.08,39.0,0.0,0.0,0.0,0.0,13,5,0,0
Lance Gibson,69.0,185.0,,Orthodox,27907200.0,1.21,75.0,6.44,20.0,0.0,0.0,0.0,0.0,4,5,0,0
Cody Gibson,70.0,135.0,71.0,Orthodox,558316800.0,3.47,44.0,3.36,57.0,2.18,40.0,68.0,0.7,22,10,0,0
Thomas Gifford,73.0,155.0,75.0,Orthodox,712108800.0,3.97,37.0,6.45,37.0,0.5,33.0,33.0,0.0,14,9,0,2
Joey Gilbert,71.0,155.0,,Orthodox,202780800.0,0.61,42.0,4.44,31.0,0.0,0.0,0.0,0.0,2,3,0,0
Trevin Giles,72.0,170.0,74.0,Orthodox,713059200.0,3.17,54.0,2.39,58.0,1.07,50.0,72.0,0.3,16,7,0,0
Gregor Gillespie,67.0,155.0,71.0,Orthodox,532224000.0,3.74,52.0,2.3,57.0,6.86,48.0,100.0,0.8,14,1,0,0
Micheal Gillmore,71.0,170.0,72.0,Orthodox,543888000.0,2.04,57.0,3.02,43.0,0.0,0.0,50.0,0.0,6,5,0,0
Ricky Glenn,72.0,170.0,70.0,Southpaw,608342400.0,3.79,42.0,4.3,51.0,0.72,13.0,69.0,0.4,22,9,2,0
Mark Godbeer,76.0,240.0,77.0,Orthodox,438307200.0,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,13,4,0,0
Loopy Godinez,62.0,115.0,61.0,Orthodox,747273600.0,4.16,48.0,3.69,63.0,2.95,47.0,81.0,1.0,12,5,0,0
Allan Goes,72.0,205.0,,Orthodox,40953600.0,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6,10,5,2,0
Billy Ray Goff,70.0,170.0,72.0,Switch,898128000.0,8.56,46.0,5.71,59.0,2.01,17.0,100.0,0.0,9,3,0,0
Hannah Goldy,64.0,115.0,61.0,Orthodox,706147200.0,5.19,47.0,4.67,50.0,0.66,12.0,54.0,0.2,6,4,0,0
Marcelo Golm,75.0,249.0,75.0,Orthodox,716515200.0,4.27,58.0,4.3,45.0,0.45,50.0,87.0,0.5,6,3,0,0
Denise Gomes,62.0,115.0,63.0,Orthodox,946512000.0,4.55,50.0,3.11,51.0,0.72,25.0,67.0,0.9,10,3,0,0
Ulysses Gomez,66.0,125.0,,Orthodox,422668800.0,2.72,25.0,3.57,68.0,0.0,0.0,0.0,0.0,9,5,0,0
Joey Gomez,70.0,135.0,73.0,Orthodox,522288000.0,2.44,28.0,4.46,55.0,0.62,100.0,50.0,0.0,6,2,0,0
Joey Gomez,70.0,155.0,71.0,Orthodox,620352000.0,3.73,49.0,3.33,50.0,2.0,28.0,0.0,0.0,7,1,0,0
Silvana Gomez Juarez,63.0,115.0,65.0,Orthodox,471139200.0,4.26,32.0,4.04,61.0,0.0,0.0,30.0,0.0,11,5,0,0
Takanori Gomi,67.0,155.0,70.0,Southpaw,275270400.0,3.81,41.0,3.52,60.0,1.23,65.0,63.0,0.8,35,14,0,1
William Gomis,72.0,145.0,73.0,Southpaw,866160000.0,2.69,50.0,1.6,71.0,0.78,37.0,70.0,0.5,14,2,0,0
