Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Lucas Alexander,71.0,145.0,73.0,Orthodox,806889600.0,4.69,57.0,2.87,56.0,0.0,0.0,60.0,0.0,8,5,0,0
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,610329600.0,1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,17,4,0,0
Bill Algeo,72.0,145.0,73.0,Switch,613353600.0,5.88,51.0,4.38,47.0,1.03,50.0,55.0,0.1,18,9,0,0
Sultan Aliev,71.0,170.0,74.0,Orthodox,464227200.0,1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,15,3,0,0
Nurullo Aliev,70.0,155.0,72.0,Orthodox,976233600.0,2.43,45.0,1.07,58.0,2.6,54.0,0.0,0.0,10,0,0,0
Ikram Aliskerov,72.0,185.0,76.0,Southpaw,723686400.0,7.03,60.0,7.27,36.0,1.82,33.0,0.0,1.8,15,2,0,0
John Allan,73.0,205.0,75.0,Orthodox,730339200.0,3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,13,7,0,1
Arnold Allen,68.0,145.0,70.0,Southpaw,759196800.0,3.45,41.0,2.88,61.0,0.93,47.0,75.0,0.3,20,3,0,0
Brendan Allen,74.0,185.0,75.0,Orthodox,820108800.0,3.79,53.0,3.83,46.0,1.67,39.0,58.0,1.3,24,6,0,0
Asu Almabayev,64.0,125.0,65.0,Orthodox,759456000.0,2.11,56.0,1.02,59.0,5.08,50.0,50.0,1.7,21,2,0,0
Bekzat Almakhan,67.0,135.0,68.0,Orthodox,876268800.0,0.2,18.0,4.53,30.0,0.0,0.0,0.0,0.0,11,2,0,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,218073600.0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,13,5,0,0
Thomas Almeida,67.0,145.0,70.0,Southpaw,680918400.0,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,22,5,0,0
Ericka Almeida,66.0,115.0,,Orthodox,605059200.0,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,7,3,0,0
Jailton Almeida,75.0,205.0,79.0,Orthodox,677894400.0,2.62,65.0,0.89,41.0,6.58,60.0,60.0,2.4,22,3,0,0
Lucas Almeida,71.0,145.0,71.0,Orthodox,665280000.0,4.94,43.0,4.92,46.0,0.0,0.0,50.0,0.0,15,3,0,0
Cesar Almeida,73.0,185.0,74.0,Orthodox,575510400.0,4.16,58.0,2.32,48.0,0.0,0.0,60.0,0.3,7,1,0,0
Sarah Alpar,64.0,135.0,63.0,Southpaw,675734400.0,2.36,44.0,6.06,38.0,1.61,26.0,20.0,0.4,9,6,0,0
Ali AlQaisi,66.0,135.0,68.0,Orthodox,654048000.0,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,8,5,0,0
Victor Altamirano,68.0,125.0,70.0,Switch,664588800.0,4.58,53.0,3.82,53.0,2.88,38.0,63.0,0.0,12,5,0,0
Sean Alvarez,72.0,235.0,,Orthodox,48297600.0,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0,4,3,0,0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,442627200.0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,29,6,0,1
Joel Alvarez,75.0,155.0,77.0,Orthodox,731030400.0,4.51,53.0,3.32,50.0,0.0,0.0,40.0,1.2,22,3,0,0
Thiago Alves,69.0,170.0,70.0,Orthodox,433987200.0,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3,23,15,0,0
Amilcar Alves,72.0,170.0,,Southpaw,587001600.0,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,15,12,0,0
Warlley Alves,71.0,185.0,72.0,Orthodox,662947200.0,3.04,48.0,3.95,50.0,1.22,50.0,62.0,0.8,15,8,0,0
