iter	Logloss
0	0.6877686383
1	0.6815762976
2	0.6747646933
3	0.6695413523
4	0.6629324333
5	0.6581393053
6	0.6523227719
7	0.6469539496
8	0.6434062511
9	0.6377107731
10	0.6324749948
11	0.6281550544
12	0.6227398604
13	0.6173533065
14	0.6133718467
15	0.6084378069
16	0.6040611665
17	0.5998132988
18	0.5963752934
19	0.5936535895
20	0.5903909936
21	0.5863733744
22	0.5825134593
23	0.5781619647
24	0.5735656656
25	0.5691747474
26	0.565552515
27	0.5615485808
28	0.5573941389
29	0.5544388102
30	0.5516995191
31	0.548679299
32	0.5450206347
33	0.5418343217
34	0.5378802419
35	0.5351133453
36	0.5336061548
37	0.5303451737
38	0.5275248926
39	0.5246215242
40	0.5214606903
41	0.5187129063
42	0.5157407563
43	0.512874211
44	0.5100200916
45	0.5076683645
46	0.5053031669
47	0.5027176974
48	0.5007128683
49	0.4979679678
50	0.4966300775
51	0.4940107569
52	0.4929315732
53	0.4907703452
54	0.4885986072
55	0.4870160882
56	0.4852712492
57	0.4835807019
58	0.4813174678
59	0.4791360701
60	0.4767384104
61	0.4745842702
62	0.4726334571
63	0.4704303769
64	0.4689543793
65	0.4672885541
66	0.465347895
67	0.4632002535
68	0.4621039472
69	0.4601060453
70	0.4588887688
71	0.4570106308
72	0.4553590924
73	0.4535639683
74	0.4523305503
75	0.4509547172
76	0.4496298477
77	0.4485640692
78	0.447353415
79	0.4457984736
80	0.4443283716
81	0.4431306299
82	0.4419656328
83	0.4405379608
84	0.4393681291
85	0.4379638644
86	0.4367607147
87	0.4355045678
88	0.4340745823
89	0.4330691998
90	0.4318682197
91	0.4306570197
92	0.4296687036
93	0.4284441708
94	0.4275190413
95	0.4265342825
96	0.4257251471
97	0.4245658907
98	0.4235196757
99	0.4232014527
100	0.4220327961
101	0.4210299072
102	0.4198878394
103	0.4188181566
104	0.417715344
105	0.4170873326
106	0.4162685921
107	0.4151183055
108	0.414351716
109	0.4135593111
110	0.4126522467
111	0.4113384818
112	0.4102476673
113	0.4094092271
114	0.409008686
115	0.4082037356
116	0.407589808
117	0.4068279722
118	0.4060530732
119	0.4051962789
120	0.4042809495
121	0.4036858704
122	0.4030300916
123	0.4021607655
124	0.4013133153
125	0.4003786071
126	0.3996769064
127	0.399027573
128	0.3983784768
129	0.3977532049
130	0.3968804974
131	0.3962905899
132	0.3959974437
133	0.3951530183
134	0.3943733548
135	0.3937161644
136	0.3932221656
137	0.3925600989
138	0.3918632515
139	0.3910968675
140	0.3901524186
141	0.3896659383
